암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzUxIyQxIyQ1IyQ2MiQzNjE0ODEjODEjJDEjJDYjJDgz,100세 치과의원,51,치과의원,350000,전북,350004,무주군,안성면,55540,"전북특별자치도 무주군 안성면 안성로 288, (안성면)",063-323-2875,,2015-07-21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.6547657,35.8669113
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5MiQyNjE4MzIjNzEjJDEjJDgjJDgz,21세기 중앙의원,31,의원,350000,전북,350300,익산시,부송동,54558,"전북특별자치도 익산시 무왕로26길 3, 부송우남아파트 상가 201호 (부송동)",063-838-4026,,2008-06-17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,126.9981775,35.960418
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQ3MiQyNjE4MzIjNTEjJDEjJDYjJDgz,21세기한의원,93,한의원,350000,전북,350401,전주완산구,서노송동,54996,"전북특별자치도 전주시 완산구 팔달로 255, (서노송동)",063-273-1075,,1995-10-17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1441016,35.8248282
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3MiQzNjEyMjIjODEjJDEjJDYjJDgz,365 연합의원,31,의원,350000,전북,350300,익산시,어양동,54552,"전북특별자치도 익산시 무왕로19길 59, 2층 (어양동, 다나빌딩)",063-832-6801,,2018-10-16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9840604,35.9640936
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ4OSQzNjE4MzIjNDEjJDEjJDQjJDgz,365매일한의원,93,한의원,350000,전북,350401,전주완산구,삼천동1가,55088,"전북특별자치도 전주시 완산구 거마평로 24, 1층 (삼천동1가)",063-224-0855,,2021-04-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1170628,35.7944911
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzIxIyQyIyQ5IyQwMCQyNjEyMjIjODEjJDEjJDIjJDgz,365바른한의원,93,한의원,350000,전북,350300,익산시,모현동1가,54654,"전북특별자치도 익산시 선화로1길 20, 3,4층 (모현동1가)",063-835-0365,,2019-08-19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.9384672,35.9513942
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkNDgxMzUxIzExIyQxIyQzIyQwMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,365평화한의원,93,한의원,350000,전북,350401,전주완산구,평화동2가,55135,"전북특별자치도 전주시 완산구 모악로 4689, 2층 201,202일부호 (평화동2가)",063-717-8875,,2020-10-05,2,0,0,0,0,0,0,0,0,2,0,0,0,0,127.1302009,35.7881314
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQwMyQzNjEwMDIjNDEjJDEjJDgjJDgz,8대정성한의원,93,한의원,350000,전북,350600,김제시,만경읍,54307,"전북특별자치도 김제시 만경읍 만경4길 6, 6",063-544-7510,,2007-04-30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.8169876,35.8529321
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzIxIyQxIyQ5IyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz,Dr. 한 치과의원,51,치과의원,350000,전북,350300,익산시,모현동1가,54661,"전북특별자치도 익산시 고현로 114, 3층 (모현동1가)",063-852-2766,,1997-01-24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,126.9441931,35.9472386
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzUxIyQxIyQxIyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz,e-조은 치과의원,51,치과의원,350000,전북,350008,완주군,봉동읍,55316,"전북특별자치도 완주군 봉동읍 둔산3로 79, 79",063-263-2875,,2012-05-29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,127.1265863,35.9619869
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzUxIyQxIyQxIyQ4OSQyNjE4MzIjNTEjJDEjJDIjJDgz,FM치과의원,51,치과의원,350000,전북,350300,익산시,영등동,54638,"전북특별자치도 익산시 동서로51길 79, (영등동)",063-834-2828,,2008-12-24,5,0,0,0,0,2,0,0,3,0,0,0,0,0,126.9783668,35.9583193
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz,JB외과의원,31,의원,350000,전북,350402,전주덕진구,금암동,54922,"전북특별자치도 전주시 덕진구 백제대로 646, 2층 (금암동)",063-715-2777,,2023-12-13,2,1,0,0,1,0,0,0,0,0,0,0,0,0,127.1400857,35.8425514
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ3MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,PSI한솔비뇨기과의원,31,의원,350000,전북,350401,전주완산구,중화산동2가,54985,"전북특별자치도 전주시 완산구 백제대로 250, 3,4층 (중화산동2가)",063-227-7575,www.요실금수술.com/,2016-01-20,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.123442,35.8153506
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxMTkxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNjEjJDEjJDgjJDgz,가람한방병원,92,한방병원,350000,전북,350402,전주덕진구,송천동1가,54837,"전북특별자치도 전주시 덕진구 송천중앙로 60-0,  (송천동1가)",063-270-8600,,2014-04-30,4,0,0,0,1,0,0,0,0,1,0,0,2,0,127.1202661,35.8524433
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzExIyQxIyQzIyQ5MiQzNjEyMjIjNjEjJDEjJDAjJDgz,가람한의원,93,한의원,350000,전북,350100,군산시,나운동,54130,"전북특별자치도 군산시 하나운안1길 37-1, 103-1호 (나운동)",063-910-8275,,2023-02-17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.6951333,35.9655919
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ2MiQzNjE0ODEjNjEjJDEjJDQjJDgz,가온의료소비자생활협동조합 세나여성의원,31,의원,350000,전북,350401,전주완산구,평화동2가,55126,"전북특별자치도 전주시 완산구 소대배기로 14, (평화동2가)",063-229-8245,,2002-11-30,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.1316484,35.7871336
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkNDgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz,가온한의원,93,한의원,350000,전북,350600,김제시,요촌동,54391,"전북특별자치도 김제시 남북로 198, (요촌동)",063-545-7588,,2017-05-30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.8848911,35.8017824
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ4OSQyNjE0ODEjNDEjJDEjJDgjJDgz,가을의원,31,의원,350000,전북,350100,군산시,문화동,54123,"전북특별자치도 군산시 문화로 21, 2층 (문화동, 문화빌딩)",467-7343,,2003-07-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,126.7080293,35.970015
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzMxIyQxIyQ3IyQwMyQyNjEyMjIjNTEjJDEjJDIjJDgz,가인치과의원,51,치과의원,350000,전북,350300,익산시,부송동,54553,"전북특별자치도 익산시 궁동로 124, (부송동)",063-831-2835,,2003-12-18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,126.9848978,35.9624516
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ3OSQyNjE0ODEjNTEjJDEjJDIjJDgz,가정의원,31,의원,350000,전북,350300,익산시,함열읍,54511,"전북특별자치도 익산시 함열읍 함열중앙로 30, (가정의원)",063-862-6998,,2016-11-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9607535,36.0784886
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,가족사랑의원,31,의원,350000,전북,350401,전주완산구,효자동2가,55057,"전북특별자치도 전주시 완산구 범안3길 11-4, (효자동2가)",063-284-6319,,2004-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.1068092,35.8121198
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzUxIyQxIyQ1IyQ4MiQzNjE0ODEjNTEjJDEjJDYjJDgz,가지런이치과교정과의원,51,치과의원,350000,전북,350100,군산시,수송동,54091,"전북특별자치도 군산시 월명로 248, 2층 (수송동)",063-731-2228,,2016-06-23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,126.7161249,35.9661032
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzQxIyQxIyQ3IyQ5MiQyNjE0ODEjNjEjJDEjJDQjJDgz,가지런이치과교정과치과의원,51,치과의원,350000,전북,350401,전주완산구,효자동2가,54966,"전북특별자치도 전주시 완산구 홍산로 253, (효자동2가)",277-2879,,2008-04-21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,127.1054918,35.8163784
JDQ4MTYyMiM2MSMkMSMkNiMkOTIkMzgxNzAyIzExIyQxIyQ3IyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz,가천보건진료소,73,보건진료소,350000,전북,350008,완주군,경천면,55302,"전북특별자치도 완주군 경천면 경가천길 148-3, (경천면)",063-290-3099,,1983-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.2631758,36.0333696
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE0ODEjNTEjJDEjJDYjJDgz,감동한의원,93,한의원,350000,전북,350008,완주군,삼례읍,55334,"전북특별자치도 완주군 삼례읍 삼봉1로 2, 1동 2층 203호",063-261-7579,,2022-10-27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1237535,35.9225025
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzExIyQxIyQzIyQ4MiQyNjE4MzIjNTEjJDEjJDIjJDgz,감로국한의원,93,한의원,350000,전북,350402,전주덕진구,인후동1가,55018,"전북특별자치도 전주시 덕진구 무삼지로 80, 2층 (인후동1가)",063-246-7780,,1986-04-18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1631656,35.8326375
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkNDgxMzUxIzExIyQxIyQzIyQxMyQzNjE0ODEjODEjJDEjJDIjJDgz,감로한의원,93,한의원,350000,전북,350200,남원시,금동,55768,"전북특별자치도 남원시 의총로 59, (금동)",063-636-7975,,2011-10-05,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.3761012,35.4058806
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkNDgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,감초당한의원,93,한의원,350000,전북,350300,익산시,여산면,54520,"전북특별자치도 익산시 여산면 여강로 17, (여산면)",063-836-9966,,2001-01-04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.0832665,36.0583691
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzIxIyQxIyQ1IyQ2MiQyNjE0ODEjNTEjJDEjJDIjJDgz,갑자한의원,93,한의원,350000,전북,350401,전주완산구,효자동1가,55082,"전북특별자치도 전주시 완산구 용머리로 114, (효자동1가)",063-223-7582,,1997-03-04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1226065,35.8057272
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzExIyQxIyQ3IyQ5MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,갑진한의원,93,한의원,350000,전북,350401,전주완산구,전동,55042,"전북특별자치도 전주시 완산구 팔달로 144, (전동)",063-288-1717,,1988-09-10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1483466,35.8152104
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzExIyQxIyQ3IyQxMyQzNjE4MzIjODEjJDEjJDYjJDgz,강기원치과의원,51,치과의원,350000,전북,350001,고창군,고창읍,56433,"전북특별자치도 고창군 고창읍 성산2길 5, (고창읍)",063-564-4200,,1990-09-13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,126.6961563,35.4361245
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzQxIyQyIyQ3IyQwMCQyNjEwMDIjNjEjJDEjJDgjJDgz,강남뷰티업성형외과의원,31,의원,350000,전북,350401,전주완산구,효자동2가,54966,"전북특별자치도 전주시 완산구 홍산로 245, 4층 403호 (효자동2가)",063-227-2233,,2021-08-03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1054807,35.8155518
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ4OSQyNjE0ODEjNDEjJDEjJDgjJDgz,강남아이앤유성형외과의원,31,의원,350000,전북,350401,전주완산구,서신동,54954,"전북특별자치도 전주시 완산구 유연로 293, 4층 (서신동)",063-272-7501,,2009-10-12,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.1176476,35.8255149
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzIxIyQxIyQxIyQ4MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,강남치과의원,51,치과의원,350000,전북,350401,전주완산구,서신동,54950,"전북특별자치도 전주시 완산구 당산로 116, (서신동)",063-222-7000,,1990-05-10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.1209676,35.8320077
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzQxIyQxIyQ3IyQwMyQzNjE4MzIjNDEjJDEjJDQjJDgz,강남치과의원,51,치과의원,350000,전북,350300,익산시,영등동,54637,"전북특별자치도 익산시 무왕로 1078, 4층 (영등동)",063-833-2275,,2013-04-19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,126.9763657,35.9582562
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzIxIyQyIyQ1IyQwMCQ0NjEwMDIjODEjJDEjJDYjJDgz,강남한의원,93,한의원,350000,전북,350401,전주완산구,중화산동2가,54975,"전북특별자치도 전주시 완산구 효자로 266, 3층 (중화산동2가)",063-237-1075,,2005-09-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1144908,35.8187996
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzMxIyQxIyQzIyQxMyQzNjEyMjIjNzEjJDEjJDgjJDgz,강만춘내과의원,31,의원,350000,전북,350005,부안군,부안읍,56311,"전북특별자치도 부안군 부안읍 번영로 100, (부안읍)",063-583-8900,,1989-07-05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.7312318,35.7263778
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ4MiQyNjE4MzIjNTEjJDEjJDYjJDgz,강백규한의원,93,한의원,350000,전북,350402,전주덕진구,덕진동2가,54892,"전북특별자치도 전주시 덕진구 가리내로 254, (덕진동2가)",063-275-7573,,2012-05-08,1,0,0,0,0,0,0,0,0,0,0,0,1,0,127.1101183,35.8402793
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQ4OSQzNjE0ODEjNTEjJDEjJDIjJDgz,강산한의원,93,한의원,350000,전북,350402,전주덕진구,인후동1가,55008,"전북특별자치도 전주시 덕진구 안덕원로 254, (인후동1가)",063-247-7582,,2004-09-09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,127.1547583,35.8363075
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzMxIyQxIyQzIyQ3MiQzNjE4MzIjNDEjJDEjJDQjJDgz,강성한의원,93,한의원,350000,전북,350401,전주완산구,중화산동2가,54985,"전북특별자치도 전주시 완산구 백제대로 218, 강성한의원 2층 (중화산동2가)",063-236-1075,,2003-11-11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1236232,35.8123781
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,강성호마취통증의학과의원,31,의원,350000,전북,350600,김제시,요촌동,54379,"전북특별자치도 김제시 동서로 253, (요촌동)",063-542-4117,,1999-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8947356,35.8039374
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ4OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,강성호피부과의원,31,의원,350000,전북,350401,전주완산구,서신동,54946,"전북특별자치도 전주시 완산구 온고을로 18, 4층 2호 (서신동)",063-255-8700,,2004-06-04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1210397,35.8341627
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ4OSQzNjEwMDIjNzEjJDEjJDgjJDgz,강신녕가정의학과의원,31,의원,350000,전북,350001,고창군,고창읍,56432,"전북특별자치도 고창군 고창읍 중앙로 206, 2층",063-561-2361,,1998-05-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.6980057,35.4349818
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzMxIyQxIyQzIyQ5MiQzNjE0ODEjNjEjJDEjJDgjJDgz,강안의원,31,의원,350000,전북,350004,무주군,무주읍,55516,"전북특별자치도 무주군 무주읍 주계로 72, (무주읍)",063-324-3900,,2000-09-29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.6581587,36.0060401
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzUxIyQyIyQxIyQwMCQ0NjEwMDIjNzEjJDEjJDgjJDgz,강원택내과의원,31,의원,350000,전북,350401,전주완산구,평화동1가,55119,"전북특별자치도 전주시 완산구 장승배기로 274, (평화동1가)",063-284-9688,,1993-05-27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1422889,35.7987941
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzExIyQxIyQ3IyQ3MiQzNjE0ODEjNDEjJDEjJDQjJDgz,강익현한의원,93,한의원,350000,전북,350300,익산시,남중동,54592,"전북특별자치도 익산시 익산대로24길 4, 1층 (남중동)",063-858-0088,,2020-10-30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,126.9513381,35.9442489
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ4MiQyNjE4MzIjNTEjJDEjJDYjJDgz,강정성내과의원,31,의원,350000,전북,350300,익산시,영등동,54545,"전북특별자치도 익산시 무왕로13길 13, (영등동)",063-834-2900,,1999-09-20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9765041,35.9595564
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,강진 가정의학과의원,31,의원,350000,전북,350010,임실군,강진면,55939,"전북특별자치도 임실군 강진면 호국로 13, (강진면)",063-642-7582,,2019-12-24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1607564,35.5299387
JDQ4MTYyMiM2MSMkMSMkNiMkOTIkMzgxOTYxIzExIyQxIyQzIyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,강진보건지소,72,보건지소,350000,전북,350010,임실군,강진면,55939,"전북특별자치도 임실군 강진면 호국로 47-1, (강진면)",063-640-3210,,1987-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.1633382,35.5303152
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ4OSQyNjE4MzIjNjEjJDEjJDAjJDgz,강초희유외과의원,31,의원,350000,전북,350401,전주완산구,서신동,54945,"전북특별자치도 전주시 완산구 온고을로 62, 5층 (서신동)",063-273-0111,,2023-09-04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1161519,35.8342453
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQzNjE4MzIjNDEjJDEjJDQjJDgz,강충희제통의원,31,의원,350000,전북,350402,전주덕진구,인후동1가,55018,"전북특별자치도 전주시 덕진구 무삼지로 80, 상가3층 (인후동1가)",063-244-0073,,2002-03-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1631656,35.8326375
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzExIyQxIyQ3IyQwMyQzNjEyMjIjNjEjJDEjJDQjJDgz,강한정형외과의원,31,의원,350000,전북,350401,전주완산구,효자동2가,55062,"전북특별자치도 전주시 완산구 호암로 59, 3~5층 (효자동2가)",063-226-5900,,2010-12-23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.101104,35.8094833
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ5MiQyNjEyMjIjNjEjJDEjJDgjJDgz,개정정신건강의학과의원,31,의원,350000,전북,350100,군산시,사정동,54070,"전북특별자치도 군산시 번영로 312, (사정동)",063-452-0005,,1999-02-01,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.7514963,35.9628846
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxNzAyIzIxIyQxIyQ5IyQ5OSQyNjEwMDIjNTEjJDEjJDIjJDgz,거북이한의원,93,한의원,350000,전북,350401,전주완산구,효자동1가,55093,"전북특별자치도 전주시 완산구 효동2길 10, (효자동1가)",063-224-8575,,2000-05-26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1271894,35.8054956
